2025-08-10 06:44:21,669 - Rank 1 - Starting training on rank 1
2025-08-10 06:58:59,436 - Rank 1 - Starting training
2025-08-10 10:50:34,018 - Rank 1 - Validation Loss: 0.3853, Validation Accuracy: 0.8410
2025-08-10 10:52:32,239 - Rank 1 - Train Loss: 0.4405, Train Accuracy: 0.8210
2025-08-10 10:52:40,402 - Rank 1 - Validation Loss: 0.3876, Validation Accuracy: 0.8397
2025-08-10 10:54:33,227 - Rank 1 - Train Loss: 0.4397, Train Accuracy: 0.8215
2025-08-10 10:54:42,135 - Rank 1 - Validation Loss: 0.3863, Validation Accuracy: 0.8405
2025-08-10 10:56:39,709 - Rank 1 - Train Loss: 0.4391, Train Accuracy: 0.8217
2025-08-10 10:56:48,318 - Rank 1 - Validation Loss: 0.3837, Validation Accuracy: 0.8415
2025-08-10 10:58:47,809 - Rank 1 - Train Loss: 0.4375, Train Accuracy: 0.8223
2025-08-10 10:58:56,319 - Rank 1 - Validation Loss: 0.3827, Validation Accuracy: 0.8422
2025-08-10 11:00:55,949 - Rank 1 - Train Loss: 0.4343, Train Accuracy: 0.8230
2025-08-10 11:01:03,727 - Rank 1 - Validation Loss: 0.3800, Validation Accuracy: 0.8427
2025-08-10 11:03:03,705 - Rank 1 - Train Loss: 0.4344, Train Accuracy: 0.8233
2025-08-10 11:03:11,745 - Rank 1 - Validation Loss: 0.3878, Validation Accuracy: 0.8397
2025-08-10 11:05:10,813 - Rank 1 - Train Loss: 0.4314, Train Accuracy: 0.8239
2025-08-10 11:05:19,558 - Rank 1 - Validation Loss: 0.3771, Validation Accuracy: 0.8435
2025-08-10 11:07:17,188 - Rank 1 - Train Loss: 0.4321, Train Accuracy: 0.8241
2025-08-10 11:07:24,967 - Rank 1 - Validation Loss: 0.3746, Validation Accuracy: 0.8446
2025-08-10 11:09:16,412 - Rank 1 - Train Loss: 0.4280, Train Accuracy: 0.8256
2025-08-10 11:09:24,983 - Rank 1 - Validation Loss: 0.3786, Validation Accuracy: 0.8433
2025-08-10 11:11:23,656 - Rank 1 - Train Loss: 0.4283, Train Accuracy: 0.8252
2025-08-10 11:11:32,024 - Rank 1 - Validation Loss: 0.3709, Validation Accuracy: 0.8454
2025-08-10 11:13:30,970 - Rank 1 - Train Loss: 0.4248, Train Accuracy: 0.8268
2025-08-10 11:13:39,423 - Rank 1 - Validation Loss: 0.3702, Validation Accuracy: 0.8464
2025-08-10 11:15:38,293 - Rank 1 - Train Loss: 0.4229, Train Accuracy: 0.8271
2025-08-10 11:15:46,710 - Rank 1 - Validation Loss: 0.3705, Validation Accuracy: 0.8458
2025-08-10 11:17:46,058 - Rank 1 - Train Loss: 0.4224, Train Accuracy: 0.8275
2025-08-10 11:17:55,132 - Rank 1 - Validation Loss: 0.3707, Validation Accuracy: 0.8462
2025-08-10 11:19:52,935 - Rank 1 - Train Loss: 0.4216, Train Accuracy: 0.8276
2025-08-10 11:20:00,815 - Rank 1 - Validation Loss: 0.3675, Validation Accuracy: 0.8476
2025-08-10 11:22:01,434 - Rank 1 - Train Loss: 0.4198, Train Accuracy: 0.8282
2025-08-10 11:22:10,206 - Rank 1 - Validation Loss: 0.3652, Validation Accuracy: 0.8477
2025-08-10 11:23:59,942 - Rank 1 - Train Loss: 0.4196, Train Accuracy: 0.8284
2025-08-10 11:24:08,709 - Rank 1 - Validation Loss: 0.3688, Validation Accuracy: 0.8463
2025-08-10 11:26:07,494 - Rank 1 - Train Loss: 0.4172, Train Accuracy: 0.8294
2025-08-10 11:26:14,154 - Rank 1 - Validation Loss: 0.3623, Validation Accuracy: 0.8490
2025-08-10 11:28:20,818 - Rank 1 - Train Loss: 0.4167, Train Accuracy: 0.8296
2025-08-10 11:28:33,853 - Rank 1 - Validation Loss: 0.3624, Validation Accuracy: 0.8492
2025-08-10 11:31:19,146 - Rank 1 - Train Loss: 0.4144, Train Accuracy: 0.8300
2025-08-10 11:31:31,154 - Rank 1 - Validation Loss: 0.3623, Validation Accuracy: 0.8486
2025-08-10 11:34:09,318 - Rank 1 - Train Loss: 0.4146, Train Accuracy: 0.8303
2025-08-10 11:34:21,960 - Rank 1 - Validation Loss: 0.3634, Validation Accuracy: 0.8483
2025-08-10 11:37:02,028 - Rank 1 - Train Loss: 0.4101, Train Accuracy: 0.8319
2025-08-10 11:37:15,135 - Rank 1 - Validation Loss: 0.3599, Validation Accuracy: 0.8499
2025-08-10 11:39:22,952 - Rank 1 - Train Loss: 0.4097, Train Accuracy: 0.8315
2025-08-10 11:39:31,003 - Rank 1 - Validation Loss: 0.3581, Validation Accuracy: 0.8503
2025-08-10 11:41:30,255 - Rank 1 - Train Loss: 0.4085, Train Accuracy: 0.8324
2025-08-10 11:41:38,362 - Rank 1 - Validation Loss: 0.3596, Validation Accuracy: 0.8499
2025-08-10 11:43:38,517 - Rank 1 - Train Loss: 0.4078, Train Accuracy: 0.8325
2025-08-10 11:43:46,381 - Rank 1 - Validation Loss: 0.3577, Validation Accuracy: 0.8501
2025-08-10 11:45:45,407 - Rank 1 - Train Loss: 0.4053, Train Accuracy: 0.8334
2025-08-10 11:45:53,842 - Rank 1 - Validation Loss: 0.3593, Validation Accuracy: 0.8498
2025-08-10 11:47:51,839 - Rank 1 - Train Loss: 0.4046, Train Accuracy: 0.8337
2025-08-10 11:47:59,895 - Rank 1 - Validation Loss: 0.3551, Validation Accuracy: 0.8514
2025-08-10 11:50:02,574 - Rank 1 - Train Loss: 0.4033, Train Accuracy: 0.8344
2025-08-10 11:50:10,233 - Rank 1 - Validation Loss: 0.3536, Validation Accuracy: 0.8518
2025-08-10 11:52:15,861 - Rank 1 - Train Loss: 0.4018, Train Accuracy: 0.8347
2025-08-10 11:52:23,022 - Rank 1 - Validation Loss: 0.3559, Validation Accuracy: 0.8511
2025-08-10 11:54:17,724 - Rank 1 - Train Loss: 0.4021, Train Accuracy: 0.8343
2025-08-10 11:54:25,689 - Rank 1 - Validation Loss: 0.3524, Validation Accuracy: 0.8525
2025-08-10 11:56:25,716 - Rank 1 - Train Loss: 0.3990, Train Accuracy: 0.8356
2025-08-10 11:56:34,120 - Rank 1 - Validation Loss: 0.3528, Validation Accuracy: 0.8520
2025-08-10 11:58:33,453 - Rank 1 - Train Loss: 0.3988, Train Accuracy: 0.8358
2025-08-10 11:58:41,587 - Rank 1 - Validation Loss: 0.3507, Validation Accuracy: 0.8528
2025-08-10 12:00:40,642 - Rank 1 - Train Loss: 0.3996, Train Accuracy: 0.8354
2025-08-10 12:00:48,673 - Rank 1 - Validation Loss: 0.3472, Validation Accuracy: 0.8543
2025-08-10 12:02:47,797 - Rank 1 - Train Loss: 0.3969, Train Accuracy: 0.8363
2025-08-10 12:02:56,234 - Rank 1 - Validation Loss: 0.3475, Validation Accuracy: 0.8537
2025-08-10 12:04:54,848 - Rank 1 - Train Loss: 0.3941, Train Accuracy: 0.8376
2025-08-10 12:05:02,885 - Rank 1 - Validation Loss: 0.3473, Validation Accuracy: 0.8537
2025-08-10 12:07:00,156 - Rank 1 - Train Loss: 0.3959, Train Accuracy: 0.8368
2025-08-10 12:07:08,371 - Rank 1 - Validation Loss: 0.3440, Validation Accuracy: 0.8549
2025-08-10 12:09:01,050 - Rank 1 - Train Loss: 0.3929, Train Accuracy: 0.8377
2025-08-10 12:09:09,248 - Rank 1 - Validation Loss: 0.3440, Validation Accuracy: 0.8548
2025-08-10 12:11:06,102 - Rank 1 - Train Loss: 0.3910, Train Accuracy: 0.8382
2025-08-10 12:11:13,878 - Rank 1 - Validation Loss: 0.3436, Validation Accuracy: 0.8550
