2025-08-10 06:44:21,859 - Rank 6 - Starting training on rank 6
2025-08-10 06:58:59,601 - Rank 6 - Starting training
2025-08-10 10:50:35,859 - Rank 6 - Validation Loss: 0.3902, Validation Accuracy: 0.8397
2025-08-10 10:52:32,239 - Rank 6 - Train Loss: 0.4409, Train Accuracy: 0.8211
2025-08-10 10:52:43,292 - Rank 6 - Validation Loss: 0.3925, Validation Accuracy: 0.8384
2025-08-10 10:54:33,231 - Rank 6 - Train Loss: 0.4393, Train Accuracy: 0.8218
2025-08-10 10:54:43,908 - Rank 6 - Validation Loss: 0.3910, Validation Accuracy: 0.8391
2025-08-10 10:56:39,710 - Rank 6 - Train Loss: 0.4384, Train Accuracy: 0.8218
2025-08-10 10:56:50,414 - Rank 6 - Validation Loss: 0.3883, Validation Accuracy: 0.8401
2025-08-10 10:58:47,808 - Rank 6 - Train Loss: 0.4370, Train Accuracy: 0.8224
2025-08-10 10:58:58,700 - Rank 6 - Validation Loss: 0.3876, Validation Accuracy: 0.8404
2025-08-10 11:00:55,953 - Rank 6 - Train Loss: 0.4349, Train Accuracy: 0.8231
2025-08-10 11:01:06,803 - Rank 6 - Validation Loss: 0.3852, Validation Accuracy: 0.8412
2025-08-10 11:03:03,711 - Rank 6 - Train Loss: 0.4343, Train Accuracy: 0.8234
2025-08-10 11:03:13,953 - Rank 6 - Validation Loss: 0.3926, Validation Accuracy: 0.8380
2025-08-10 11:05:10,814 - Rank 6 - Train Loss: 0.4320, Train Accuracy: 0.8241
2025-08-10 11:05:20,966 - Rank 6 - Validation Loss: 0.3821, Validation Accuracy: 0.8422
2025-08-10 11:07:17,192 - Rank 6 - Train Loss: 0.4295, Train Accuracy: 0.8250
2025-08-10 11:07:27,323 - Rank 6 - Validation Loss: 0.3794, Validation Accuracy: 0.8431
2025-08-10 11:09:16,412 - Rank 6 - Train Loss: 0.4279, Train Accuracy: 0.8255
2025-08-10 11:09:26,506 - Rank 6 - Validation Loss: 0.3836, Validation Accuracy: 0.8413
2025-08-10 11:11:23,660 - Rank 6 - Train Loss: 0.4271, Train Accuracy: 0.8257
2025-08-10 11:11:33,812 - Rank 6 - Validation Loss: 0.3755, Validation Accuracy: 0.8443
2025-08-10 11:13:30,976 - Rank 6 - Train Loss: 0.4267, Train Accuracy: 0.8262
2025-08-10 11:13:41,458 - Rank 6 - Validation Loss: 0.3752, Validation Accuracy: 0.8447
2025-08-10 11:15:38,295 - Rank 6 - Train Loss: 0.4238, Train Accuracy: 0.8271
